tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
4514,251,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,return object,True,True
4515,251,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,recover focus->work,offer help,True,True
4516,251,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,give space,True,True
4517,251,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,rest->negotiate debt,finish owed work,True,True
4518,252,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,apologize and wait,True,True
4519,252,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,return object,True,True
4520,252,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,offer help,True,True
4521,252,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,give space,True,True
4522,252,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,work->rest,finish owed work,True,True
4523,252,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,rest before retry,True,True
4524,252,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,negotiate debt->seek tool,apologize and wait,True,True
4525,252,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,seek tool->care duty,return object,True,True
4526,252,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,care duty->private task,offer help,True,True
4527,252,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,give space,True,True
4528,252,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,finish owed work,True,True
4529,252,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,rest before retry,True,True
4530,252,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,rest->negotiate debt,apologize and wait,True,True
4531,252,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,negotiate debt->seek tool,return object,True,True
4532,252,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,seek tool->care duty,offer help,True,True
4533,252,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,give space,True,True
4534,252,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,finish owed work,True,True
4535,252,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,rest before retry,True,True
4536,253,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,return object,True,False
4537,253,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,negotiate debt->seek tool,offer help,True,True
4538,253,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,give space,True,True
4539,253,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,care duty->private task,finish owed work,True,True
4540,253,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,rest before retry,True,True
4541,253,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,apologize and wait,True,True
4542,253,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,return object,True,True
4543,253,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,offer help,True,True
4544,253,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,give space,True,True
4545,253,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,seek tool->care duty,finish owed work,True,True
4546,253,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,rest before retry,True,True
4547,253,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,private task->recover focus,apologize and wait,True,True
4548,253,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,return object,True,True
4549,253,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,offer help,True,True
4550,253,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,give space,True,True
4551,253,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,finish owed work,True,True
4552,253,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,rest before retry,True,True
4553,253,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,care duty->private task,apologize and wait,True,True
4554,254,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,recover focus->work,offer help,True,True
4555,254,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,give space,True,True
4556,254,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,finish owed work,True,True
4557,254,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,rest before retry,True,True
4558,254,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,apologize and wait,True,True
4559,254,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,return object,True,True
4560,254,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,private task->recover focus,offer help,True,True
4561,254,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,recover focus->work,give space,True,True
4562,254,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,work->rest,finish owed work,True,True
4563,254,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,rest before retry,True,True
4564,254,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,apologize and wait,True,True
4565,254,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,return object,True,True
4566,254,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,offer help,True,True
